epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6084,1.79245,5.25176,1.13328,0,0,0,0,0.91986,5.06032,0.97413,3.808e-05,3.808e-05,3.808e-05
2,33.106,1.31598,4.8843,0.97966,0,0,0,0,1.1432,4.85679,0.87951,8.01189e-05,8.01189e-05,8.01189e-05
3,42.7512,1.22311,4.44868,0.92729,0,0,0,0,0.88916,4.67202,0.80871,0.00012131,0.00012131,0.00012131
4,51.5674,1.15113,3.783,0.88267,0.05435,0.14615,0.0621,0.05395,0.89677,4.48392,0.7899,0.000161652,0.000161652,0.000161652
5,60.2668,1.11085,3.13604,0.8611,0.03907,0.18889,0.12077,0.07705,0.94206,4.17491,0.80523,0.000201146,0.000201146,0.000201146
6,68.8616,0.98813,2.57906,0.84878,0.05494,0.35128,0.15364,0.10926,0.88756,3.89653,0.79013,0.000239792,0.000239792,0.000239792
7,77.266,0.91477,2.18827,0.83696,0.10558,0.50855,0.29847,0.23768,0.82747,3.55175,0.78024,0.00027759,0.00027759,0.00027759
8,85.9576,0.87797,2.02273,0.8228,0.10377,0.7265,0.40104,0.31087,0.84686,3.20025,0.80069,0.000314539,0.000314539,0.000314539
9,95.0527,0.85208,1.83687,0.82822,0.124,0.76496,0.43535,0.33999,0.82876,2.91323,0.814,0.000350641,0.000350641,0.000350641
10,104.126,0.79849,1.59906,0.81852,0.12708,0.82991,0.54911,0.42958,0.819,2.83443,0.80471,0.000385894,0.000385894,0.000385894
11,112.882,0.79319,1.51128,0.82077,0.12876,0.8,0.57656,0.45868,0.84827,2.66358,0.81212,0.000420298,0.000420298,0.000420298
12,121.346,0.8013,1.39285,0.81687,0.84982,0.4063,0.64215,0.51135,0.81299,2.46851,0.82602,0.000424164,0.000424164,0.000424164
13,130.029,0.76973,1.35363,0.8207,0.82474,0.51905,0.66717,0.5305,0.84795,2.08104,0.83099,0.000419451,0.000419451,0.000419451
14,138.377,0.72573,1.24537,0.81703,0.80193,0.62046,0.68639,0.54402,0.75332,1.76764,0.82786,0.000414739,0.000414739,0.000414739
15,147.644,0.69623,1.17511,0.80901,0.7063,0.64377,0.70388,0.55364,0.7868,1.81193,0.82538,0.000410026,0.000410026,0.000410026
16,156.625,0.73113,1.14742,0.80353,0.77166,0.58042,0.66813,0.54569,0.68801,1.67657,0.82199,0.000405314,0.000405314,0.000405314
17,165.079,0.69627,1.0967,0.80765,0.76964,0.5834,0.65925,0.51705,0.71751,1.50438,0.82703,0.000400602,0.000400602,0.000400602
18,174.188,0.67293,1.01716,0.80442,0.77334,0.58816,0.65705,0.53224,0.64357,1.41236,0.82469,0.000395889,0.000395889,0.000395889
19,183.216,0.65527,0.97827,0.81185,0.66469,0.65345,0.66959,0.52456,0.693,1.37824,0.8287,0.000391177,0.000391177,0.000391177
20,191.442,0.64243,0.97628,0.79923,0.6918,0.73921,0.72262,0.58656,0.60683,1.20985,0.81446,0.000386464,0.000386464,0.000386464
21,200.304,0.64382,0.94224,0.80074,0.52009,0.84935,0.77699,0.61137,0.6216,1.08494,0.81841,0.000381752,0.000381752,0.000381752
22,209.181,0.63906,0.95847,0.80914,0.64262,0.74192,0.88325,0.6759,0.64088,1.08752,0.81894,0.00037704,0.00037704,0.00037704
23,218.792,0.62256,0.94118,0.80275,0.60147,0.79914,0.86541,0.70441,0.59188,1.07857,0.81388,0.000372327,0.000372327,0.000372327
24,228.409,0.61271,0.85925,0.80013,0.64779,0.81051,0.83237,0.63805,0.67496,1.03854,0.82146,0.000367615,0.000367615,0.000367615
25,239.639,0.57986,0.8285,0.79736,0.67862,0.81988,0.83063,0.67091,0.58762,1.05163,0.82164,0.000362902,0.000362902,0.000362902
26,249.975,0.61142,0.82783,0.80238,0.67351,0.83601,0.83115,0.64021,0.62696,1.04291,0.82057,0.00035819,0.00035819,0.00035819
27,260.289,0.5979,0.81724,0.79626,0.67221,0.82759,0.82223,0.64278,0.649,0.97944,0.826,0.000353478,0.000353478,0.000353478
28,271.264,0.5814,0.77582,0.80062,0.67953,0.80937,0.82194,0.64482,0.66434,0.99011,0.82834,0.000348765,0.000348765,0.000348765
29,281.408,0.58277,0.80159,0.79686,0.57669,0.90598,0.79781,0.64866,0.6643,0.97327,0.82355,0.000344053,0.000344053,0.000344053
30,292.612,0.59951,0.80468,0.79786,0.60048,0.90503,0.80329,0.6466,0.61177,1.00362,0.81678,0.00033934,0.00033934,0.00033934
31,302.591,0.56541,0.7575,0.78857,0.59439,0.90598,0.8162,0.68206,0.61671,0.98935,0.82088,0.000334628,0.000334628,0.000334628
32,312.821,0.54015,0.74036,0.78379,0.71081,0.81604,0.83678,0.67071,0.64514,0.96685,0.82947,0.000329916,0.000329916,0.000329916
