epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7514,0.73694,6.02498,0.9063,0.68005,0.77986,0.79497,0.67466,0.61932,3.19809,0.89885,0.000199091,0.000199091,0.08029
2,110.332,0.5964,2.07553,0.85829,0.69193,0.83941,0.87585,0.74887,0.62321,2.69267,0.90823,0.000399067,0.000399067,0.06049
3,165.162,0.6007,1.78754,0.84699,0.69519,0.8546,0.82201,0.69945,0.62876,2.82863,0.9007,0.000598945,0.000598945,0.0406899
4,219.753,0.58869,1.68194,0.84616,0.82075,0.74573,0.85653,0.73142,0.61548,2.76493,0.90637,0.000798652,0.000798652,0.0208896
5,274.588,0.56778,1.57832,0.84165,0.8644,0.78462,0.89502,0.77281,0.60968,2.53796,0.90908,0.000998115,0.000998115,0.00108902
6,329.577,0.54226,1.43639,0.83603,0.84034,0.74905,0.83056,0.71978,0.56952,2.43022,0.89616,0.000998474,0.000998474,0.000998474
7,384.374,0.53621,1.35234,0.83147,0.8519,0.80295,0.87646,0.75024,0.58351,2.44703,0.90264,0.000997803,0.000997803,0.000997803
8,439.27,0.52429,1.30095,0.82699,0.82817,0.81205,0.88352,0.75041,0.61013,2.34406,0.91595,0.000997011,0.000997011,0.000997011
9,494.691,0.5081,1.26474,0.81914,0.87426,0.80887,0.86577,0.76007,0.56694,2.48632,0.89649,0.000996097,0.000996097,0.000996097
10,549.815,0.49805,1.20724,0.81814,0.86079,0.80709,0.85263,0.7506,0.55389,2.43397,0.90027,0.000995062,0.000995062,0.000995062
11,605.065,0.47869,1.13075,0.81811,0.80514,0.83592,0.87242,0.76469,0.54577,2.34492,0.9017,0.000993906,0.000993906,0.000993906
12,660.232,0.47129,1.09721,0.813,0.8586,0.82748,0.85539,0.72771,0.53056,2.38872,0.90215,0.000992629,0.000992629,0.000992629
13,715.416,0.46928,1.08017,0.81535,0.88248,0.76456,0.80736,0.72851,0.51951,2.39967,0.89802,0.000991232,0.000991232,0.000991232
14,770.685,0.48134,1.08715,0.81363,0.86872,0.80875,0.83991,0.74314,0.55076,2.33353,0.90771,0.000989715,0.000989715,0.000989715
15,825.901,0.45664,1.03587,0.807,0.86042,0.8182,0.83313,0.73761,0.51305,2.47126,0.88693,0.000988079,0.000988079,0.000988079
16,881.253,0.4294,0.96743,0.80361,0.87017,0.8142,0.83266,0.73516,0.5186,2.3129,0.90069,0.000986323,0.000986323,0.000986323
17,936.763,0.42046,0.95139,0.80401,0.92349,0.8134,0.85169,0.75425,0.51059,2.39647,0.87838,0.000984449,0.000984449,0.000984449
18,992.153,0.4225,0.9581,0.80283,0.89871,0.8047,0.84799,0.76361,0.52404,2.29288,0.89059,0.000982456,0.000982456,0.000982456
19,1047.5,0.41459,0.95381,0.80414,0.86342,0.79975,0.80394,0.72308,0.53375,2.29118,0.90342,0.000980345,0.000980345,0.000980345
20,1102.88,0.39906,0.91401,0.79862,0.82099,0.81615,0.8412,0.74867,0.53448,2.14286,0.90618,0.000978118,0.000978118,0.000978118
21,1158.36,0.40076,0.90773,0.80023,0.81922,0.78629,0.76013,0.67463,0.57349,2.66948,0.93326,0.000975773,0.000975773,0.000975773
22,1213.79,0.39157,0.90127,0.79729,0.80247,0.79882,0.81473,0.71484,0.52353,2.6422,0.89985,0.000973312,0.000973312,0.000973312
23,1269.33,0.38471,0.87179,0.7921,0.86772,0.79997,0.78596,0.70076,0.52525,2.46086,0.91094,0.000970736,0.000970736,0.000970736
24,1325,0.37938,0.87391,0.79788,0.79979,0.81454,0.81934,0.73598,0.51951,2.61149,0.90544,0.000968045,0.000968045,0.000968045
25,1380.53,0.38141,0.86758,0.79774,0.86385,0.80158,0.82261,0.75453,0.52197,2.2108,0.91665,0.000965239,0.000965239,0.000965239
26,1436,0.38433,0.85993,0.79807,0.84412,0.79913,0.81996,0.74341,0.53038,2.4689,0.89439,0.00096232,0.00096232,0.00096232
27,1491.49,0.37442,0.83473,0.79176,0.85922,0.79192,0.80323,0.71449,0.51549,2.34756,0.91011,0.000959289,0.000959289,0.000959289
28,1546.81,0.36161,0.81028,0.79269,0.87889,0.82311,0.82918,0.75045,0.50213,2.18535,0.88852,0.000956145,0.000956145,0.000956145
29,1602.44,0.36599,0.81546,0.78997,0.86458,0.80416,0.81643,0.73398,0.55006,2.19957,0.90832,0.000952889,0.000952889,0.000952889
30,1657.81,0.36364,0.81656,0.78997,0.85133,0.81922,0.78605,0.70372,0.49852,2.40044,0.89077,0.000949524,0.000949524,0.000949524
31,1713.7,0.34998,0.79303,0.78638,0.83741,0.80065,0.78446,0.70984,0.47951,2.39163,0.8806,0.000946048,0.000946048,0.000946048
32,1769.04,0.34335,0.77009,0.79049,0.84926,0.80671,0.80795,0.71379,0.51463,2.49552,0.89016,0.000942464,0.000942464,0.000942464
33,1824.59,0.33822,0.75094,0.78496,0.88337,0.79876,0.81479,0.71868,0.51623,2.47307,0.90529,0.000938772,0.000938772,0.000938772
34,1880.03,0.34596,0.75917,0.78774,0.89262,0.80992,0.81757,0.73604,0.50287,2.23648,0.89349,0.000934973,0.000934973,0.000934973
35,1935.42,0.34854,0.76017,0.7866,0.85964,0.8097,0.83651,0.741,0.50742,2.05123,0.88686,0.000931067,0.000931067,0.000931067
